City,Hard,Easy
Las Vegas,We are traveling towards former double ace meadows. Nordenskiöld's Northeast Passage is a clue that may seem a bit dry but could actually be a jackpot.,"We're now slipping onto the Strip and if you've played your cards right, you know we're now in America's number one casino town. Vivaaa... our destination!"
Lima,It's fitting that we start in the neighboring country's capital. We're traveling west in high altitude towards the domain combination of small Alpine country and discounted African country. The golf ace Johansson gives you in abbreviated form the country with strong macho culture.,We are now in the capital of Peru.
Los Angeles,"Leaving an authentic Argentine soccer player and traveling north along calm waters, we land on Salmo Salar. Legendary sixty-six ended their long journey here.","We are now in California's largest city, also known as the City of Angels."
Manila,"A gentleman rushes off and we follow! He almost lured us to Djurgården, but instead we're heading for the scene of a legendary thriller.",We are now trundling into the capital of the Philippines and here they dislike guerrillas. 
Melbourne,"We leave William IV's queen in his niece's region and travel south towards the southern port city, famous for its open games.",We are now in the m-city here down under.
Mexico City,We leave the city where the king had fun and head east towards destinations that used to be something of a tin and titanium city where 8 and 90 lasted a long time in the long run.,"Before we say arrive in our capital and say thank you and goodbye for this time, I wonder how you prefer to prepare your enchiladas. A, fried. or B, grilled with lots of mayonnaise."
Nairobi,We leave the capital and famous Victoria above the belt to travel east towards the old east and city below the belt. English air and Russian water are central concepts here.,"We are now in the capital of Kenya.
- Is it Kampala?
- Nai
- Is it Dar es Saleem?
- Nai
- RRR OOO
- I'll take a look if it helps."
New Orleans,We leave the red cane and the main town in Pelican Province and head towards the well-known estuary. The journey goes towards the southeast although we are initially heading towards the northeast.,We now roll into a seemingly new city that is also Louisiana's largest and in 2005 the city was devastated by Hurricane Katrina.
New York,"We're leaving the equivalent of Arboga and heading for the town where the world's most famous factory once stood. Richard III's house, like Fedora and Fez, are clues to the destination where Ruth was once the town's babe. ","We are now in the largest city in the United States and now you will get the final clues to our 2-part destination. Statue of Liberty, Empire State Building, Broadway and Manhattan."
Amsterdam,We leave Silver-Anna and head towards the red light in the north. The journey goes from one capital to another in a double country.,"A hamster dusts off the city's bike-filled streets. If you still don’t know where we are, here’s the last clue: If you catch your breath, breathe slowly."
Bad Gastein,"We leave a slightly escalated large room and embark on a southern journey to the east, heading to a wet place where the book about the life of Alice B. Toklas plays a part",We’ve arrived at the Austrian skiing mecca where you can enjoy a spa or perhaps a dip in the Gastein River.
Barcelona,"We leave a mountainous principality and travel south with the middle class towards an initial watering hole by the coast, where the Holy Family awaits.","We have now arrived in the capital of Catalonia and the second-largest city on the Iberian Peninsula. The city's bar cannot reward itself, no, only ""celona."""
Bilbao,"We throw off the muleta and capote and head to an industrial city in the north. Our destination is not car-free, though.

","We have arrived in a Basque fortress on the shores of the Bay of Biscay, and with a car and Benny Andersson's orchestra, we conclude the show in the elegant Guggenheim Museum."
Birmingham,"We leave the den of Canis lupus (the wolf) and head towards Alabama's number one and the hometown of Judas' pastor. If you follow the M6, you should arrive at the right place.","We’ve now finished our journey, and it's time to disembark in England’s number two city starting with B."
Belfast,"We leave the capital and head quickly north in more than one sense. The term ""commuter slimming"" (pendelbanta) translated might give you a clue to the city, where we also find Laholm's flow, the Queen's school, and David's opponent. The city we are looking for is near water but on solid ground.","Still stuck? Think Northern Ireland, if you please."
Belgrad,We leave the country’s second-largest city and travel south to the birthplace of an ace of aces. 255 times 3 is a pale clue to an otherwise colorful city.,"In this capital of Serbia, not many Belgians live, but add a ""rad"" after ""belg"" and you have the city’s inhabitants."
Berlin,We leave the wife of a red mass murderer and take a commuter train to a city that elevates a blue-flowered crop. The river flowing through the city is sprawling.,"I ask Linn to serve blueberries, lingonberries, and döner kebab. We have now arrived in the capital that was once divided into East and West."
Bergen,"We leave a place known for a massive object and head over a height towards another height, where sporty water adventures have their home base. Deoxyribonucleic acid (DNA) gives you the answer!","Now I ask (BER) for an answer, and if you still can't see Norway's second city, it's likely because all the mountains are in the way. But think oil and rain, if you please."
Bordeaux,"We leave ham in the south and surf north towards the fifth in the fifth. Upon arrival, a set table and uncorked bottles await.",We have now arrived in the capital of wine. Please answer if I may B.
Bryssel,"We leave a well-polished former Olympic city and travel south towards a city with two parliaments. If your head starts spinning, don't let it kill you, because then you're close to our destination.","Fries, waffles, and mussels are now served as we briskly arrive in Belgium’s capital."
Cardiff,We leave white swans and travel along the coast eastward toward blue thrushes. A red dragon accompanies us throughout the journey.,"We have now rolled into the capital of Wales. ""Give me your card"" if you need more clues."
Dublin,"We leave a metrical form on the west side and travel east, towards a city where you, too, are at home. We are heading towards the capital, but to get there, you must blink left in the roundabout.","Trusting these clues blindly is not recommended, as you might be unpleasantly surprised. Instead, think of Ireland’s capital."
Florens,We leave the place where a famous sequence of numbers was thought up and travel east to a purple city. Gösta Ekman's role in The Man Who Quit Smoking is a clue to the city where Hannibal Lecter once operated.,"Is toothpaste with fluoride even worth packing here in the capital of Tuscany, which the locals call Firenze?"
Hamburg,We leave the Crown Prince's city and travel south. The journey is like that of Siam's animals to the city where Shem and Japheth's brother give a moderate introduction.,"If we take everything from the cage, we went from Sweden's third to Germany's second, what do we end up with?"
Rom,We leave the foot city and travel north towards the eagles in the egg city. We take the road via mobile application in power unit but also other roads lead us right.,We are now in the capital built on seven hills. The Spanish Steps and the Colosseum are in this city which is an anagram of snake.
Riga,No time is wasted waiting here and we are now leaving Kurland to travel to Kurstad with its own bay.,"We've arrived in the capital of Latvia, which is an anagram of gira."
